No.,Rule,Rule ID,Query,Tool Output,Correct (Y/N)
11,E001_InconsistentTupleVariable,E001,update users set online = 1 where exists(select null from users t where t.email = in_email and t.password = in_password and t.id = id) and id = 'result_id';,no errors,TRUE
12,E001_InconsistentTupleVariable,E001,"select p1.domain_id, p2.domain_id, count(p1.domain_id) as d1, count(p2.domain_id) as d2 from pdb as p1, interacting_pdbs as i1, pdb as p2, interacting_pdbs as i2 where p1.id = i1.pdb_first_id and p2.id = i2.pdb_second_id and i1.id = i2.id group by p1.domain_id, p2.domain_id having d1 > 100 and d2 > 100 order by d1, d2;",no errors,TRUE
13,E001_InconsistentTupleVariable,E001,"select a.object from mytable a, mytable b where a.object = b.object and a.key = 'a' and a.value = 'a' and b.key = 'b' and b.value = 'b';","inconsistent tuple variables: mytable.key, mytable.value",TRUE
14,E001_InconsistentTupleVariable,E001,"select * from cats outside where not exists(select * from cats cat where exists( select dog.foo,dog.bar from dogs dog where cat.foo = dog.foo and cat.bar = dog.bar) and outside.foo = cat.foo and outside.bar=cat.bar );",no errors,TRUE
15,E001_InconsistentTupleVariable,E001,"select username.name, useremail.email, userphone.phone from users as username inner join users as useremail on username.user = useremail.user and username.field = 'name' and useremail.field = 'email' inner join users as userphone on username.user = userphone.user and userphone.field = 'phone';",inconsistent tuple variables: users.field,FALSE
16,E001_InconsistentTupleVariable,E001,"select count(*) from ( select u1.userid from vote u1, vote u2 where u1.itemid = u2.itemid and u1.userid = user1 and u2.userid = user2);",inconsistent tuple variables: vote.userid,TRUE
17,E001_InconsistentTupleVariable,E001,update mark set mark= case when mark.val<= 5 then val*1.1 else val end where mark.id_classes = classes.id_classes and classes.id_subject = subject.id_subject and subject.id_subject = 5;,no errors,TRUE
18,E001_InconsistentTupleVariable,E001,"select a1.owner,a1.table_name from all_tab_columns a1, all_tab_columns a2 where a1.owner=a2.owner and a1.table_name=a2.table_name and a1.column_name='location' and a2.column_name='asset_id' order by a1.owner,a1.table_name;",inconsistent tuple variables: all_tab_columns.column_name,TRUE
19,E001_InconsistentTupleVariable,E001,"select p1.gameid from participants as p1, participants as p2 where p1.name = 'team1' and p2.name='team2' and p1.gameid = p2.gameid;",inconsistent tuple variables: participants.name,FALSE
20,E001_InconsistentTupleVariable,E001,"select n1.id, n1.name,n2.name, a3.age from name n1, name n2, age a3 where n1.id=n2.id and n1.id=a3.id and n1.type=0   and n2.type=1;","inconsistent tuple variables: name.type, name.id ",TRUE
21,E002_ConstantOutputColumn,E002,select * from mytable1 ca left outer join mytable2 dcn on dcn.dstrct_code = ca.dstrct_code where ca.dstrct_code = '0001' and ca.req_232_type = 'p' and ca.requisition_no = '264982  000' and ca.alloc_count = '01' order by ca.alloc_count asc;,"constant output column: ca.dstrct_code = '0001', constant output column: ca.req_232_type = 'p', constant output column: ca.requisition_no = '264982  000', constant output column: ca.alloc_count = '01'",TRUE
22,E002_ConstantOutputColumn,E002,select * from ranked where ranking = 1;,constant output column: ranking = 1,TRUE
23,E002_ConstantOutputColumn,E002,select * from orc_users as  t1 inner join orc_files as t2 on t1.id = t2.userid where t1.email='sdfsdf';,constant output column: t1.email = 'sdfsdf',TRUE
24,E002_ConstantOutputColumn,E002,select * from person where name = 'robert';,constant output column: name = 'robert',TRUE
25,E002_ConstantOutputColumn,E002,select * from myuser as u join friend_pivotal as p on u.id = p.user_rec_id or u.id = p.user_inv_id where status = 'accepted';,constant output column: status = 'accepted',TRUE
26,E002_ConstantOutputColumn,E002,"select * from (select * from table order by value desc, date_column) where rownum = 1;",constant output column: rownum = 1,TRUE
27,E002_ConstantOutputColumn,E002,select * from a_table where a_column = '&avariable' union select * from a_table where b_column = '&&avariable';,"constant output column: a_column = '&avariable', constant output column: b_column = '&&avariable'",TRUE
28,E002_ConstantOutputColumn,E002,"select incurredcharges.procedure_no, incurredcharges.patient_no, charges.procedure from incurredcharges inner join charges where incurredcharges.patient_no=12;",constant output column: incurredcharges.patient_no = 12,TRUE
29,E002_ConstantOutputColumn,E002,"select u.uid ,u.uname,p.uid , p.profname,e.uid,e.eduname from  user  u inner join profession p on u.uid=p.pid inner join education e on u.uid = e.uid where u.uid=p.uid and u.uid=e.uid and i.uid=1;",constant output column: i.uid = 1,TRUE
30,E002_ConstantOutputColumn,E002,"select arbogast.node.nid as anid, mcguffin.node.nid as mnid, arbogast.node.title as atitle, mcguffin.node.title as mtitle from arbogast.node, mcguffin.node where arbogast.node.nid = 1 and mcguffin.node.nid = arbogast.node.nid;",constant output column: arbogast.node.nid = 1,TRUE
31,E002_ConstantOutputColumn,E002,"select imagename, sum(ratingvalue) as ""lol"" from ratings group by imagename having imagename = 'myimagename';",constant output column: imagename = 'myimagename',TRUE
32,E002_ConstantOutputColumn,E002,"select max(id) as id, type, max(other_id) as other_id, max(def_id) as def_id, ref_def_id from t where type = 'ref' group by type, ref_def_id;",constant output column: type = 'ref',TRUE
33,E002_ConstantOutputColumn,E002,"select distinct name from sys.objects where type in ('u','v') and name= 'myname';",constant output column: name = 'myname',TRUE
34,E002_ConstantOutputColumn,E002,"select customerid, orderdate, count(1) cnt from sales.salesorderheader where customerid = 11300 group by customerid, orderdate order by cnt desc;",constant output column: customerid = 11300,TRUE
35,E002_ConstantOutputColumn,E002,"select booking.bookno, booking.courno, course.coursename from booking, course, coursename where booking.bookno = 6200 and booking.courno = course.courno and coursename.coursenameno = course.coursenameno;",constant output column: booking.bookno = 6200,TRUE
36,E002_ConstantOutputColumn,E002,"select table1.personcode, table1.name, table2.location, max(table2.servicedate) from table1 inner join table2 on table1.id = table2.table1id where table1.personcode = 'xyz' group by table1.personcode,table1.name, table2.location;",constant output column: table1.personcode = 'xyz',TRUE
37,E002_ConstantOutputColumn,E002,"select t1.userid, t2.date, min(t1.time) as in_time, max(t1.time) as out_time from test t1 join (select distinct date from test where userid = 609) t2 where t1.date = t2.date and userid = 609 group by t1.userid, t2.date;",constant output column: table1.personcode = 'xyz',TRUE
38,E002_ConstantOutputColumn,E002,select * from mm_tfs where product_description like '%football%' and schoolid = '8' and category_id ='21';,"constant output column: schoolid = '8', constant output column: category_id = '21'",TRUE
39,E002_ConstantOutputColumn,E002,select * from customer where c_role = 'dev' order by c_id limit 2;,constant output column: c_role = 'dev',TRUE
40,E002_ConstantOutputColumn,E002,"select attrsmall, attrlarge, max(rating_id) as ratingmax from ( select case when c.attr1_id < c.attr2_id then c.attr1_id else c.attr2_id end as attrsmall, case when c.attr1_id < c.attr2_id then c.attr2_id else c.attr1_id end as attrlarge, c.rating_id from compatibility c) as c1 group by atrrsmall, attrlarge having ratingmax = 1;",constant output column: ratingmax = 1,TRUE
41,E003_DuplicateOutputColumn,E003,"insert into personpet(fk_person, fk_pet) select id, id from person;",no errors,TRUE
42,E003_DuplicateOutputColumn,E003,"select identity( int ) as tempid, *, sectionid as fix2ids from files_sections;",duplicate output column: sectionid,TRUE
43,E003_DuplicateOutputColumn,E003,"select *, cond2 as cond2, cond3 as cond3 from table having cond1 and (cond2 or cond3);","duplicate output column: cond3, duplicate output column: cond2",TRUE
44,E003_DuplicateOutputColumn,E003,"select country, count(*) as cnt1, count(*) as cnt2 from orders group by country having cnt1=2 and cnt2>2;",duplicate output column: count(*),TRUE
45,E003_DuplicateOutputColumn,E003,"select c77,c77,c125,c126,c127,c74 from mytable;",duplicate output column: c77,TRUE
46,E003_DuplicateOutputColumn,E003,"select itemnumber as '@id', itemnumber as 'itemnumber', price as 'price/@value', datefrom as 'price/datefrom', dateto as 'price/dateto' from #tempxml;",duplicate output column: itemnumber,TRUE
47,E003_DuplicateOutputColumn,E003,"select videos.id, videos.id as video_id, videos.video_title as video_title, group_concat(distinct t.tag_name separator '|') as tag_names from   videos join   video_tags as vt join   tags as t where  videos.id <= ( select  max_doc_id from    sph_counter where   counter_id = 1 ) group by videos.id;",duplicate output column: videos.id,TRUE
48,E003_DuplicateOutputColumn,E003,"select distinct t.date_effective, t.acct_account_transaction_id, p.method, t.amount, c.business_name, t.amount from   contact                  c join   contact_role            cr on cr.contact_fk = c.contact_id join   acct_account             a on a.contact_fk = c.contact_id join   acct_account_transaction t on t.acct_account_fk = a.acct_account_id join   acct_payment             p on p.acct_account_transaction_fk and link_type like 'return_%' where  transaction_status = 'active'    -- missing table-qualification! and    cr.exchange_fk = 74 and    t.type = 'debit' and    t.date_effective >= '2012-03-01' and    t.date_effective <  (date '2012-03-01' + interval '1 month') and    p.method != 'trade' and    l.link_type is null;",duplicate output column: t.amount,TRUE
49,E003_DuplicateOutputColumn,E003,"insert into test_table(column_1, column_2) select val, val from x;",no errors,TRUE
50,E003_DuplicateOutputColumn,E003,"select e.empid,e.fname,e.lname,c.description as hair,c.description as race from employee2 e  inner join code c;",duplicate output column: c.description,TRUE
51,E003_DuplicateOutputColumn,E003,"select uuid, uuid from data;",duplicate output column: uuid,TRUE
52,E003_DuplicateOutputColumn,E003,"select value, value from public.customers where nodevalue.key3 = 'key3' and nodevalue.key4 = 'key4';",duplicate output column: value,TRUE
53,E003_DuplicateOutputColumn,E003,"select owner, count(distinct object_name || 'this is a really long string in my expression, don''t you think?  actually, it''s really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, ridiculously long!'), count(distinct object_name || 'this is a really long string in my expression, don''t you think?  actually, it''s really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, ridiculously long!') from   dba_objects where  rownum <= 100 group by owner fetch first 1 row only;
s","duplicate output column: count(DISTINCT object_name || 'this is a really long string in my expression, don''t you think?  actually, it''s really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, ridiculously long!')",TRUE
54,E003_DuplicateOutputColumn,E003,"select projects.project_id, projects.title, projects.start_time, projects.description, projects.user_id, projects.winner_user_id, users.username as owner, users.username as winner from projects,users where projects.user_id=users.user_id and projects.winner_user_id=users.user_id;",duplicate output column: users.username,TRUE
55,E003_DuplicateOutputColumn,E003,"select productgroupid as product23_1_, articleid as articleid1_, articleid as articleid18_0_, inventory_name as inventory3_18_0_, inventory_unitofmeasure as inventory4_18_0_, businesskey as business5_18_0_, name as name18_0_, servespeople as servespe7_18_0_, instock as instock18_0_, description as descript9_18_0_, description2 as descrip10_18_0_, technicaldata as technic11_18_0_, isdiscontinued as isdisco12_18_0_, release as release18_0_, classifications as classif14_18_0_, distributorname as distrib15_18_0_, distributorproductcode as distrib16_18_0_, options as options18_0_, ispromoted as ispromoted18_0_, isbulkyfreight as isbulky19_18_0_, isbackorderonly as isbacko20_18_0_, price as price18_0_, weight as weight18_0_, productgroupid as product23_18_0_, conversationid as convers24_18_0_, distributorid as distrib25_18_0_, type as type18_0_ from article as articles0_ where (isdiscontinued = '0') and (productgroupid = 379121);","duplicate output column: productgroupid, duplicate output column: articleid",TRUE
56,E003_DuplicateOutputColumn,E003,"select *, t1.image_id as  image from event.dbo.dia_tracker t1 where exists (select 1 from event.dbo.dia_tracker t2 where t2.patient_id = 'dsma' group by case when t2.active = '1' then t2.image_id end having max(t2.image_id ) = t1.image_id);",duplicate output column: t1.image_id,TRUE
57,E003_DuplicateOutputColumn,E003,"select *, 'full' from abc;",duplicate output column: 'full',TRUE
58,E003_DuplicateOutputColumn,E003,select 1 except select 1;,duplicate output column: 1,FALSE
59,E003_DuplicateOutputColumn,E003,"select *, regexp_replace(port, '[0-9/\.]', '', 'g') port_name, string_to_array(regexp_replace(port, '[a-za-z\-]', '', 'g'), '/')::float[] port_number from device order by name, regexp_replace(port, '[0-9/\.]', '', 'g'), string_to_array(regexp_replace(port, '[a-za-z\-]', '', 'g'), '/')::float[];",no errors,TRUE
60,E003_DuplicateOutputColumn,E003,"select *, match(pages) against('doodle') as score from books where match(pages) against('doodle') order by score desc;",no errors,TRUE
61,E004_UnnecessaryTupleVariable,E004,select emp.salary from employee emp inner join sap s on emp.id = s.id where s.id = 111;,unnecessary tuple variables: sap,TRUE
62,E004_UnnecessaryTupleVariable,E004,"select * from child c,parent p where c.id=p.parentid and c.parentid !=0;",no errors,TRUE
63,E004_UnnecessaryTupleVariable,E004,select t1.col_1 from table t1 join table t2 on t1.col_2=t2.col_1 where t1.col_1=t2.col_2 and t1.col_1='one';,unnecessary tuple variables: table,TRUE
64,E004_UnnecessaryTupleVariable,E004,select m.actor from movies m where m.movie = 'pulp fiction' and not exists ( select 1 from movies m1 join movies m2 on m1.movie = m2.movie and m1.actor <> m2.actor and m2.movie <> 'pulp fiction' and m2.actor in (select actor from movies where movie = 'pulp fiction') where m.actor = m1.actor );,no errors,TRUE
65,E004_UnnecessaryTupleVariable,E004,"select c.name, if(find_in_set('type_a', group_concat(substring_index(f1.filename,'_',2))), 'yes', 'no') as type_a, if(find_in_set('type_b', group_concat(substring_index(f1.filename,'_',2))), 'yes', 'no') as type_b, if(find_in_set('type_c', group_concat(substring_index(f1.filename,'_',2))), 'yes', 'no') as type_c from client_master c join file_master f1 on(f1.client_id = c.client_id) join status_master sm on(sm.status = f1.status) where sm.status='completed' and substring_index(f1.filename,'_',-1) = curdate() group by c.id;",unnecessary tuple variables: status_master,TRUE
66,E004_UnnecessaryTupleVariable,E004,"select u.firstname, u.lastname, u.rep, u.email, u.password, u.gender, u.level, u.birthday, u.achievements, u.height, u.unit, u.cityid, u.countryid, r.regdate, ci.name as city, co.name as country from users u, registry r, cities ci, countries co where u.id = 1 and r.uid = u.id and u.cityid = ci.id and u.countryid = co.id limit 1;",no errors,TRUE
67,E004_UnnecessaryTupleVariable,E004,"select images.*, users.username from images left join users on images.user_id = users.id left join user_follow on images.user_id = user_follow.follow_id where images.user_id = 3 or user_follow.user_id = 3 order by images.date desc;",unnecessary tuple variables: user_follow,TRUE
68,E004_UnnecessaryTupleVariable,E004,select * from tblpe t1 where t1.date = ( select max(date) from tblpe t2 where t1.id = t2.id ) and t1.id = 39;,unnecessary tuple variables: tblpe,TRUE
69,E004_UnnecessaryTupleVariable,E004,"select pd.id,pd.price_date,pd.name_id,pd.class_id,pd.currency_id,pd.price, pd.price - (select price from price_data as x where x.price_date < pd.price_date and x.name_id      = pd.name_id and x.class_id     = pd.class_id and x.currency_id  = pd.currency_id having max(x.price_date)) as `change` from price_data as pd where pd.name_id ='bill' order by pd.name_id,pd.class_id,pd.currency_id,pd.price_date;",no errors,TRUE
70,E004_UnnecessaryTupleVariable,E004,"select activitytext, actiontext from activity join activityaction on activity.activityid = activityaction.activityid join action on activityaction.actionid = action.actionid where activity.activityid = 1;",unnecessary tuple variables: activity,TRUE
71,E004_UnnecessaryTupleVariable,E004,"select studentid, firstname, lastname, gender from   student join major on student.majorid = major.majorid where  major.majorid = 2;",unnecessary tuple variables: major,TRUE
72,E004_UnnecessaryTupleVariable,E004,"select col.column_name, col.constraint_name from information_schema.constraint_column_usage col where col.constraint_name = tab.constraint_name and col.table_name = tab.table_name and constraint_type = 'primary key' and col.constraint_name like '%adhoc%';",no errors,TRUE
73,E004_UnnecessaryTupleVariable,E004,update purchase as p inner join artwork as a on p.purchaseid = a.purchaseid set p.total = sum(a.price) where a.purchaseid = 'd4758';,no errors,TRUE
74,E004_UnnecessaryTupleVariable,E004,"select client.*, cat1id.client_catid_1 as cat1, cat2id.client_catid_2 as cat2 from tb_clients as client left join tb_clients_categories cat1id on client.client_id = cat1id.client_id left join tb_clients_categories cat2id on client.client_id = cat2id.client_id where client.client_id = 65447;",no errors,TRUE
75,E004_UnnecessaryTupleVariable,E004,"select c.c_id, s.s_fname, count(r.c_id) from results r, candidates c, student s,positioning p, organization o where r.c_id = c.c_id and c.sid = s.sid and c.pos_id = p.pos_id and o.org_id = c.org_id and o.org_id = 1 group by c.c_id;",unnecessary tuple variables: organization,TRUE
76,E004_UnnecessaryTupleVariable,E004,"select pt.projecttaskid, isnull(sum(case when pte.assigneduserid = @userid then 1 end),0) as assignedtome, isnull(sum(case when pte.assigneduserid <> @userid then 1 end),0) as assignedtoothers from projecttask pt inner join project p on p.projectid = pt.projectid left join projecttaskentity pte on pte.projecttaskid = pt.projecttaskid where p.projectid = 1 group by  pt.projecttaskid;",unnecessary tuple variables: project,TRUE
77,E004_UnnecessaryTupleVariable,E004,select ip_settings.ip from server inner join network_interfaces on network_interfaces.id = server.fk_network_interfaces inner join ip_settings on ip_settings.id = network_interfaces.fk_ip_settings where server.id=6;,no errors,TRUE
78,E004_UnnecessaryTupleVariable,E004,"update table_to tt, table_from tf set tt.name = ""chandi"" where tt.id = tf.id and tf.id = 1;",unnecessary tuple variables: table_from,TRUE
79,E004_UnnecessaryTupleVariable,E004,select t.* from terms t join term_relationships tr on tr.term_id = t.term_id join posts p on p.post_id = tr.post_id where p.post_id = 1;,unnecessary tuple variables: posts,TRUE
80,E004_UnnecessaryTupleVariable,E004,"select t1.service from table1 t1, table2 t2 where t1.cnty = t2.cnty and t1.zip = t2.zip and t2.zip = '1234';",unnecessary tuple variables: table2,TRUE
81,E006_ComparisonWithNull,E006,"select * from (values (1), (2)) as tbl(col) where not (col = null or col = 1);",comparison with NULL: col = NULL,TRUE
82,E006_ComparisonWithNull,E006,"select r.id, r.authtoken.instagram,r.username from root r where r.abc <> null;",comparison with NULL: r.abc <> NULL,TRUE
83,E006_ComparisonWithNull,E006,"select loans.*, if(ul.name = null, ub.name, ul.name) as name, if(ul.id = null, ub.id,ul.id) as uid from loans left join users ul on users.id = loans.lender_id left join users ub on users.id = loans.borrower_id where ul.id = 2 or ub.id = 2;","comparison with NULL: ul.name = NULL, comparison with NULL: ul.id = NULL",TRUE
84,E006_ComparisonWithNull,E006,select count(*) from table1 where request_time < timestamp'2012-05-19 14:00:00' and (end_time > timestamp'2012-05-19 14:00:00' or end_time=null);,comparison with NULL: end_time = NULL,TRUE
85,E006_ComparisonWithNull,E006,select * from my_table where some_field = null;,comparison with NULL: some_field = NULL,TRUE
86,E006_ComparisonWithNull,E006,select * from customer c where so.orderid = null;,comparison with NULL: so.orderid = NULL,TRUE
87,E006_ComparisonWithNull,E006,select name from bbc where gdp > all (select gdp from bbc where region = 'africa' and gdp<>null);,comparison with NULL: gdp <> NULL,TRUE
88,E006_ComparisonWithNull,E006,select * from hotel where address != null;,comparison with NULL: address != NULL,TRUE
89,E006_ComparisonWithNull,E006,select * from t1 where a=b or (a=null and b=null);,"comparison with NULL: a = NULL, comparison with NULL: b = NULL",TRUE
90,E006_ComparisonWithNull,E006,"select concat(area, yearlevel, code) as subjectcode, count(student) from studenttakessubject where result < 50 and result <> null group by code having count(student) > 1;",comparison with NULL: result <> NULL,TRUE
91,E006_ComparisonWithNull,E006,select checklists.id from checklists left join (select checklist_id from checklist_items where completed = 'f' union distinct select checklist_id from checklist_items group by checklist_id having count(*) = 0) partial_checklists where partial_checklists.checklist_id = null;,comparison with NULL: partial_checklists.checklist_id = NULL,TRUE
92,E006_ComparisonWithNull,E006,"select lefttable.id, righttable.id as nullid from lefttable left join righttable on righttable.id = lefttable.id where nullid = null;",comparison with NULL: nullid = NULL,TRUE
93,E006_ComparisonWithNull,E006,select e.id from employments e where not exists ( select 1 from emails em where em.employment_id=e.id and em.deactivated_on = null );,comparison with NULL: em.deactivated_on = NULL,TRUE
94,E006_ComparisonWithNull,E006,"select secid, min(date) as startdate, max(date) as enddate, price from bigtable group by secid, enddate having min(date) != max(date) and date != null;",comparison with NULL: date != NULL,TRUE
95,E006_ComparisonWithNull,E006,select * from student left join course where student.std_id = null or student.std_name = null or student.std_start_date = null or student.std_end_date = null or student.std_gender = null or student.course_id = null;,"comparison with NULL: student.std_id = NULL, comparison with NULL: student.std_name = NULL, comparison with NULL: student.std_start_date = NULL, comparison with NULL: student.std_end_date = NULL, comparison with NULL: student.std_gender = NULL, comparison with NULL: student.course_id = NULL",TRUE
96,E006_ComparisonWithNull,E006,"select top (10) ctry, sales from table1 union all select 'other', sum(sales) from table1 where table2.ctry = null group by table1.ctry;",comparison with NULL: table2.ctry = NULL,TRUE
97,E006_ComparisonWithNull,E006,update salesorders o set transref = (select t.transref from transfers t where o.orderno = t.orderno and (o.ordext = t.ordext or (t.ordext=null and o.ordext=null)) and t.transref <> null) where ordext = null;,"comparison with NULL: t.ordext = NULL, comparison with NULL: o.ordext = NULL, comparison with NULL: t.transref <> NULL, comparison with NULL: ordext = NULL",TRUE
98,E006_ComparisonWithNull,E006,"select h.clientnumber, iif(h.checkoutdate=null,""yes"","""") as currentvisitor from visitstable as h inner join ( select clientnumber, max(lastvisitdate) as lastvisitstart from visitstable group by clientnumber) as t;",comparison with NULL: h.checkoutdate = NULL,TRUE
99,E006_ComparisonWithNull,E006,select * from t left join m on t.sub_id = m.id where t.sub_id != null;,comparison with NULL: t.sub_id != NULL,TRUE
100,E006_ComparisonWithNull,E006,"select m.provider_id, m.provider_name, p.purchase_order_code, null as purchase_order_sample_code, p.provider_id as provider_order from mst_provider as m left join trx_purchase_order as p where p.provider_id != null union select m.provider_id, m.provider_name, p.purchase_order_code, null as purchase_order_sample_code, p.provider_id as provider_order from mst_provider as m right join trx_purchase_order as p union select m.provider_id, m.provider_name, null, s.purchase_order_sample_code, s.provider_id from mst_provider as m right join trx_purchase_order_sample as s;",comparison with NULL: p.provider_id != NULL,TRUE
101,E007_UnnecessaryGeneralComparison,E007,select sum(amt) where session=x and order >= ( select max(order) where atype='set' and session=x );,unnecessary general comparison: order >= (SELECT max(order) WHERE atype = 'set' AND session = x),TRUE
102,E007_UnnecessaryGeneralComparison,E007,"select t.*, row_number() over(partition by ""name"" order by ""date"") as rank from  tablea t where ""date"" >= (select max(""date"") from tablea where ""type"" = 'b');","unnecessary general comparison: ""date"" >= (SELECT max(""date"") FROM tablea WHERE ""type"" = 'b')",TRUE
103,E007_UnnecessaryGeneralComparison,E007,select * from `table_name` where id >= (select floor( max(id) * rand()) from `table_name` ) order by id limit 30;,unnecessary general comparison: id >= (SELECT floor(max(id) * rand()) FROM `table_name`),TRUE
104,E007_UnnecessaryGeneralComparison,E007,select id from table_name where id >= (select max(id) from table_name where id <= 12);,unnecessary general comparison: id >= (SELECT max(id) FROM table_name WHERE id <= 12),TRUE
105,E007_UnnecessaryGeneralComparison,E007,select thedate from datetable where thedate >= (select max(thedate) from datetable where thedate < getdate());,unnecessary general comparison: thedate >= (SELECT max(thedate) FROM datetable WHERE thedate < getdate()),TRUE
106,E007_UnnecessaryGeneralComparison,E007,"select distinct maker, price from product inner join printer where color = 'y' and price <= (select min(price) from printer where color = 'y');",unnecessary general comparison: price <= (SELECT min(price) FROM printer WHERE color = 'y'),TRUE
107,E007_UnnecessaryGeneralComparison,E007,select * from numbers where nr >= (select max(nr) from numbers where nr < 6.20) and nr <= (select min(nr) from numbers where nr > 6.20);,"unnecessary general comparison: nr >= (SELECT max(nr) FROM numbers WHERE nr < 6.20), unnecessary general comparison: nr <= (SELECT min(nr) FROM numbers WHERE nr > 6.20)",TRUE
108,E007_UnnecessaryGeneralComparison,E007,"select name, message from flux_chat_messages where id >= ( max( id ) -5 ) order by id asc;",unnecessary general comparison: id >= (max(id) - 5),TRUE
109,E007_UnnecessaryGeneralComparison,E007,"select submissionid, input, value from yourtable where submissionid >= (select max(submissionid) from yourtable) - 1 order by submissionid;",unnecessary general comparison: submissionid >= (SELECT max(submissionid) FROM yourtable) - 1,TRUE
110,E007_UnnecessaryGeneralComparison,E007,select * from yourtable where id >= 4 and id <= (select min(id) from yourtable where b = 'f' and id >= 4);,unnecessary general comparison: id <= (SELECT min(id) FROM yourtable WHERE b = 'f' AND id >= 4),TRUE
111,E007_UnnecessaryGeneralComparison,E007,"select * from my_table where datetime_column >= date_sub((select max(datetime_column) from my_table), 7);","unnecessary general comparison: datetime_column >= date_sub((SELECT max(datetime_column) FROM my_table), 7)",TRUE
